2025-11-04 08:45:59 status installed libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:59 configure file:amd64 1:5.41-3ubuntu0.1 <none>
2025-11-04 08:45:59 status unpacked file:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 status half-configured file:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 status installed file:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 configure liberror-perl:all 0.17029-1 <none>
2025-11-04 08:45:59 status unpacked liberror-perl:all 0.17029-1
2025-11-04 08:45:59 status half-configured liberror-perl:all 0.17029-1
2025-11-04 08:45:59 status installed liberror-perl:all 0.17029-1
2025-11-04 08:45:59 configure autotools-dev:all 20220109.1 <none>
2025-11-04 08:45:59 status unpacked autotools-dev:all 20220109.1
2025-11-04 08:45:59 status half-configured autotools-dev:all 20220109.1
2025-11-04 08:45:59 status installed autotools-dev:all 20220109.1
2025-11-04 08:45:59 configure libuv1:amd64 1.43.0-1ubuntu0.1 <none>
2025-11-04 08:45:59 status unpacked libuv1:amd64 1.43.0-1ubuntu0.1
2025-11-04 08:45:59 status half-configured libuv1:amd64 1.43.0-1ubuntu0.1
2025-11-04 08:45:59 status installed libuv1:amd64 1.43.0-1ubuntu0.1
2025-11-04 08:45:59 configure emacsen-common:all 3.0.4 <none>
2025-11-04 08:45:59 status unpacked emacsen-common:all 3.0.4
2025-11-04 08:45:59 status half-configured emacsen-common:all 3.0.4
2025-11-04 08:45:59 status installed emacsen-common:all 3.0.4
2025-11-04 08:45:59 configure dh-elpa-helper:all 2.0.9ubuntu1 <none>
2025-11-04 08:45:59 status unpacked dh-elpa-helper:all 2.0.9ubuntu1
2025-11-04 08:45:59 status half-configured dh-elpa-helper:all 2.0.9ubuntu1
2025-11-04 08:45:59 status installed dh-elpa-helper:all 2.0.9ubuntu1
2025-11-04 08:45:59 configure libsigsegv2:amd64 2.13-1ubuntu3 <none>
2025-11-04 08:45:59 status unpacked libsigsegv2:amd64 2.13-1ubuntu3
2025-11-04 08:45:59 status half-configured libsigsegv2:amd64 2.13-1ubuntu3
2025-11-04 08:45:59 status installed libsigsegv2:amd64 2.13-1ubuntu3
2025-11-04 08:45:59 configure libjsoncpp25:amd64 1.9.5-3 <none>
2025-11-04 08:45:59 status unpacked libjsoncpp25:amd64 1.9.5-3
2025-11-04 08:45:59 status half-configured libjsoncpp25:amd64 1.9.5-3
2025-11-04 08:45:59 status installed libjsoncpp25:amd64 1.9.5-3
2025-11-04 08:45:59 configure libltdl7:amd64 2.4.6-15build2 <none>
2025-11-04 08:45:59 status unpacked libltdl7:amd64 2.4.6-15build2
2025-11-04 08:45:59 status half-configured libltdl7:amd64 2.4.6-15build2
2025-11-04 08:45:59 status installed libltdl7:amd64 2.4.6-15build2
2025-11-04 08:45:59 configure librhash0:amd64 1.4.2-1ubuntu1 <none>
2025-11-04 08:45:59 status unpacked librhash0:amd64 1.4.2-1ubuntu1
2025-11-04 08:45:59 status half-configured librhash0:amd64 1.4.2-1ubuntu1
2025-11-04 08:45:59 status installed librhash0:amd64 1.4.2-1ubuntu1
2025-11-04 08:45:59 configure git-man:all 1:2.34.1-1ubuntu1.15 <none>
2025-11-04 08:45:59 status unpacked git-man:all 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:59 status half-configured git-man:all 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:59 status installed git-man:all 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:59 configure cmake-data:all 3.22.1-1ubuntu1.22.04.2 <none>
2025-11-04 08:45:59 status unpacked cmake-data:all 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:59 status half-configured cmake-data:all 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:46:00 status installed cmake-data:all 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:46:00 configure curl:amd64 7.81.0-1ubuntu1.21 <none>
2025-11-04 08:46:00 status unpacked curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:46:00 status half-configured curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:46:00 status installed curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:46:00 configure libfido2-1:amd64 1.10.0-1 <none>
2025-11-04 08:46:00 status unpacked libfido2-1:amd64 1.10.0-1
2025-11-04 08:46:00 status half-configured libfido2-1:amd64 1.10.0-1
2025-11-04 08:46:00 status installed libfido2-1:amd64 1.10.0-1
2025-11-04 08:46:00 configure libxmuu1:amd64 2:1.1.3-3 <none>
2025-11-04 08:46:00 status unpacked libxmuu1:amd64 2:1.1.3-3
2025-11-04 08:46:00 status half-configured libxmuu1:amd64 2:1.1.3-3
2025-11-04 08:46:00 status installed libxmuu1:amd64 2:1.1.3-3
2025-11-04 08:46:00 configure libtool:all 2.4.6-15build2 <none>
2025-11-04 08:46:00 status unpacked libtool:all 2.4.6-15build2
2025-11-04 08:46:00 status half-configured libtool:all 2.4.6-15build2
2025-11-04 08:46:00 status installed libtool:all 2.4.6-15build2
2025-11-04 08:46:00 configure openssh-client:amd64 1:8.9p1-3ubuntu0.13 <none>
2025-11-04 08:46:00 status unpacked openssh-client:amd64 1:8.9p1-3ubuntu0.13
2025-11-04 08:46:00 status half-configured openssh-client:amd64 1:8.9p1-3ubuntu0.13
2025-11-04 08:46:00 status installed openssh-client:amd64 1:8.9p1-3ubuntu0.13
2025-11-04 08:46:00 configure m4:amd64 1.4.18-5ubuntu2 <none>
2025-11-04 08:46:00 status unpacked m4:amd64 1.4.18-5ubuntu2
2025-11-04 08:46:00 status half-configured m4:amd64 1.4.18-5ubuntu2
2025-11-04 08:46:00 status installed m4:amd64 1.4.18-5ubuntu2
2025-11-04 08:46:00 configure git:amd64 1:2.34.1-1ubuntu1.15 <none>
2025-11-04 08:46:00 status unpacked git:amd64 1:2.34.1-1ubuntu1.15
2025-11-04 08:46:00 status half-configured git:amd64 1:2.34.1-1ubuntu1.15
2025-11-04 08:46:00 status installed git:amd64 1:2.34.1-1ubuntu1.15
2025-11-04 08:46:00 configure autoconf:all 2.71-2 <none>
2025-11-04 08:46:00 status unpacked autoconf:all 2.71-2
2025-11-04 08:46:00 status half-configured autoconf:all 2.71-2
2025-11-04 08:46:00 status installed autoconf:all 2.71-2
2025-11-04 08:46:00 configure xauth:amd64 1:1.1-1build2 <none>
2025-11-04 08:46:00 status unpacked xauth:amd64 1:1.1-1build2
2025-11-04 08:46:00 status half-configured xauth:amd64 1:1.1-1build2
